,Age,W,Pace,eFG%,TOV%,ORB%,FT/FGA,Dfg%,Dtov%,DRB%,Dft/fga,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%.1.1,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,3PAr,FTr,ORB%.1,DRB%.1,TRB%,AST%,STL%,BLK%,TOV%.1.1,USG%,year
42,28.8,56,94.7,0.5329999999999999,11.6,22.8,0.215,0.493,13.2,75.7,0.231,LAC,42.6,90.0,4.733999999999999,10.5,27.9,3.228,32.3,62.29999999999999,5.136,5.356999999999998,19.500000000000004,27.5,7.0120000000000005,10.1,34.7,44.6,26.0,8.0,5.2,12.3,22.3,115.4,5.5760000000000005,3.327,2.9939999999999998,40.4,147.9,95.3,144.5,16.400000000000002,16.6,111.9,197.0,2015.0
43,27.0,21,94.0,0.473,12.1,25.4,0.204,0.518,12.1,76.3,0.231,LAL,41.3,95.9,4.379,6.5,19.7,2.306,34.9,76.49999999999999,4.529000000000001,4.7109999999999985,19.3,25.6,7.409,12.0,35.7,47.50000000000001,23.5,7.300000000000002,4.6,14.1,21.2,108.4,5.0840000000000005,1.95,2.675,52.6,161.1,104.6,147.5,14.3,16.2,111.3,204.7,2015.0
44,29.6,55,92.0,0.489,12.6,24.7,0.214,0.4920000000000001,14.5,75.3,0.183,MEM,39.60000000000001,86.70000000000002,4.546,5.6000000000000005,16.4,2.8420000000000005,34.1,70.19999999999999,4.775,4.874999999999999,18.8,24.1,7.552999999999999,10.4,32.90000000000001,43.1,23.6,9.6,4.4,13.999999999999998,19.3,104.0,5.247000000000001,1.98,2.5420000000000003,46.6,146.70000000000005,96.9,152.5,20.6,14.1,128.1,198.1,2015.0
45,28.5,37,90.9,0.5,14.5,23.2,0.227,0.505,14.2,73.4,0.213,MIA,39.00000000000001,84.10000000000002,4.635,5.9,18.0,2.7710000000000004,33.1,66.0,4.946000000000001,5.0089999999999995,20.5,27.9,7.266999999999999,10.400000000000002,34.3,44.8,21.0,7.9,5.699999999999998,15.299999999999995,18.4,104.5,5.4030000000000005,2.3149999999999995,3.3710000000000004,55.60000000000001,166.9,112.6,139.5,16.3,20.7,142.8,195.3,2015.0
46,24.6,41,94.1,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221,MIL,41.9,91.7,4.630000000000001,7.9,21.4,2.5569999999999995,34.099999999999994,70.3,4.9110000000000005,5.0360000000000005,19.6,25.1,7.689,10.4,33.7,44.10000000000001,27.800000000000004,10.7,5.1,18.200000000000006,23.000000000000004,111.2,5.425000000000002,2.225,2.7510000000000003,50.10000000000001,147.7,99.2,168.50000000000003,20.6,18.5,149.3,206.9,2015.0
47,24.4,16,94.4,0.468,13.7,26.6,0.24,0.537,13.9,71.6,0.187,MIN,44.8,102.0,4.413,6.299999999999999,18.0,2.91,38.5,83.89999999999998,4.5920000000000005,4.718999999999999,24.9,31.5,7.821000000000001,13.500000000000002,31.9,45.2,23.1,8.3,4.0,16.0,19.6,121.2,5.209,1.729,3.0489999999999995,55.50000000000001,144.3,98.5,141.5,15.3,11.4,122.9,212.6,2015.0
48,25.3,45,91.4,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195,NOP,43.90000000000001,94.3,4.69,9.0,23.4,2.599,34.800000000000004,71.2,4.76,5.227,18.2,24.1,7.471999999999999,13.3,36.10000000000001,49.5,24.7,7.7,7.199999999999998,13.900000000000002,20.6,115.0,5.533,2.58,2.4720000000000004,58.99999999999999,156.9,108.1,132.30000000000004,14.099999999999998,19.9,119.7,192.5,2015.0
49,26.9,17,91.2,0.47,14.0,24.5,0.18,0.512,13.3,73.1,0.234,NYK,39.3,89.4,4.428000000000001,7.2,20.4,2.742,32.4,69.1,4.631,4.787,16.599999999999998,21.1,7.970999999999999,11.0,31.3,41.99999999999999,22.0,7.1,4.0,14.1,22.000000000000004,102.5,5.165000000000001,2.0580000000000003,2.3169999999999997,52.3,154.1,101.7,145.60000000000005,14.4,15.7,132.0,199.1,2015.0
50,25.4,45,95.7,0.4920000000000001,13.1,28.9,0.214,0.489,12.4,75.6,0.213,OKC,45.60000000000001,100.39999999999998,4.561,9.3,26.6,2.623,36.3,73.8,5.007,4.987,22.700000000000006,29.8,7.079,13.0,38.8,51.79999999999999,24.700000000000006,8.1,6.600000000000001,16.5,23.2,123.20000000000002,5.296,2.5340000000000003,2.8939999999999997,56.7,155.5,106.8,143.5,15.1,20.4,136.8,195.7,2015.0
51,24.3,25,93.8,0.494,14.0,23.1,0.168,0.514,13.6,76.0,0.21,ORL,40.3,88.10000000000002,4.569,7.2,20.1,2.966,33.0,67.80000000000001,4.8069999999999995,5.0,15.1,20.700000000000006,7.372000000000001,11.4,35.1,46.2,21.2,8.2,4.4,15.1,22.5,103.1,5.2860000000000005,2.455,2.3990000000000005,54.00000000000001,162.00000000000003,107.0,120.7,16.0,17.2,144.4,189.6,2015.0
52,23.2,18,95.7,0.459,16.0,25.5,0.195,0.4970000000000001,15.2,73.0,0.225,PHI,37.1,91.1,4.096,9.0,28.3,2.632000000000001,28.099999999999994,62.60000000000001,4.486000000000001,4.598,19.700000000000006,29.000000000000004,6.827000000000001,11.2,32.0,43.3,23.2,10.7,6.799999999999999,19.8,22.1,102.7,4.9769999999999985,3.174,3.178,45.7,140.79999999999995,91.0,155.0,20.3,21.9,155.5,204.8,2015.0
53,25.7,39,96.3,0.501,13.7,24.5,0.191,0.4970000000000001,14.0,73.5,0.221,PHO,42.6,91.9,4.763,9.3,26.1,2.778,33.5,66.0,5.107,5.193,18.5,23.8,7.23,12.300000000000002,35.40000000000001,47.7,22.2,9.499999999999998,5.8,15.400000000000002,22.8,112.7,5.515,2.4530000000000003,2.5580000000000003,53.99999999999999,152.2,102.4,123.7,17.4,18.7,128.3,193.3,2015.0
54,27.0,51,94.2,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182,POR,43.49999999999999,95.8,4.531000000000001,11.4,30.8,2.9760000000000004,32.1,64.9,4.928,5.182,17.5,21.6,7.9910000000000005,11.2,36.6,48.0,23.1,6.6000000000000005,4.799999999999999,14.500000000000002,18.8,115.5,5.506,3.508,2.045,48.2,148.5,99.5,130.2,12.4,12.699999999999998,133.0,195.7,2015.0
55,26.0,29,95.4,0.49,14.8,26.5,0.276,0.507,11.8,75.2,0.2,SAC,41.8,91.4,4.556,6.6000000000000005,18.7,2.6839999999999997,35.2,72.49999999999999,4.865000000000001,4.94,25.40000000000001,32.6,7.638,10.8,34.800000000000004,45.4,21.9,7.5,4.300000000000002,16.900000000000002,21.3,115.70000000000002,5.414,2.2359999999999998,3.375,49.6,143.9,98.4,132.79999999999998,13.7,12.499999999999995,131.70000000000002,200.0,2015.0
56,29.8,55,93.8,0.517,13.1,23.4,0.2,0.484,13.3,77.3,0.19,SAS,40.40000000000001,84.19999999999997,4.8500000000000005,7.6,20.200000000000006,3.133,32.8,64.0,5.112,5.275,18.2,23.1,7.891,10.2,34.1,43.9,25.4,8.299999999999999,5.7,14.1,18.5,106.5,5.668000000000001,2.282,2.825,50.8,155.70000000000005,104.3,162.00000000000003,16.7,16.9,132.39999999999998,201.40000000000003,2015.0
57,26.1,49,92.8,0.508,12.0,25.6,0.232,0.506,13.4,73.3,0.208,TOR,41.3,90.7,4.752,9.4,26.700000000000006,2.8560000000000003,31.9,63.9,5.115,5.233,21.90000000000001,27.7,7.586,11.2,32.9,44.0,22.8,7.999999999999999,4.6,13.4,21.9,113.5,5.642,2.736,3.2439999999999998,54.0,148.9,101.4,130.8,15.699999999999998,15.4,113.5,194.7,2015.0
