,Age,W,Pace,ORB%,Tm,3P%,FT%,TOV,PTS,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,year
82,23.3,10,97.9,20.6,PHI,3.1949999999999994,7.040000000000001,16.6,106.8,5.234,3.3510000000000004,2.63,92.6,151.3,17.1,20.8,2016.0
83,26.0,23,98.5,25.4,PHO,2.9120000000000004,7.455,16.0,103.5,5.341000000000001,2.9639999999999995,2.825,103.20000000000002,125.9,14.999999999999998,13.4,2016.0
84,24.3,44,96.0,25.9,POR,2.7939999999999996,7.419,14.300000000000002,109.1,5.488,2.944,2.9449999999999994,109.1,124.5,13.8,16.0,2016.0
85,26.6,33,100.0,23.9,SAC,2.908,7.066,17.4,118.8,5.547999999999999,2.42,2.853,103.5,132.70000000000002,17.2,16.599999999999998,2016.0
86,30.3,67,93.8,23.0,SAS,3.08,7.8279999999999985,12.6,103.0,5.5390000000000015,2.256,2.225,103.8,165.99999999999997,18.6,18.9,2016.0
87,26.3,56,92.9,24.6,TOR,2.844,7.3569999999999975,13.0,113.0,5.466000000000001,2.866,3.139,106.3,113.3,16.3,20.1,2016.0
88,24.2,40,91.0,25.9,UTA,2.866,7.3439999999999985,15.800000000000002,105.1,5.4129999999999985,3.028,2.687,101.5,144.0,16.8,15.400000000000002,2016.0
89,27.3,41,98.5,20.6,WAS,2.92,7.4330000000000025,15.5,118.9,5.56,2.734,2.692,93.7,152.09999999999997,17.2,12.2,2016.0
90,27.9,43,97.4,23.6,ATL,3.083,7.6110000000000015,16.2,109.0,5.449,3.237,2.8469999999999995,93.4,155.60000000000005,17.599999999999994,17.599999999999994,2017.0
91,25.9,53,96.8,21.2,BOS,3.5730000000000004,7.626,13.500000000000002,115.1,5.598,3.895,2.472,100.5,158.69999999999996,15.7,13.7,2017.0
92,26.0,20,101.3,19.6,BRK,3.217,7.875,15.299999999999995,101.5,5.447,3.669,2.89,94.4,140.0,14.2,14.599999999999998,2017.0
93,26.9,41,95.3,27.0,CHI,2.6340000000000003,7.544,12.9,110.29999999999998,5.419,2.319,2.488,110.2,138.4,15.4,15.6,2017.0
94,26.5,36,95.7,19.9,CHO,2.501,8.125,11.2,112.3,5.5070000000000014,2.7840000000000003,3.209,99.3,146.99999999999997,13.9,19.4,2017.0
95,29.2,51,96.2,21.9,CLE,3.4530000000000003,7.5509999999999975,13.899999999999995,122.7,5.721999999999999,4.5760000000000005,2.4639999999999995,97.30000000000004,127.59999999999998,14.3,12.6,2017.0
96,27.6,33,92.2,18.1,DAL,3.5060000000000002,8.032,11.4,104.7,5.551,3.648,2.515,92.1,146.6,16.9,15.2,2017.0
97,25.2,40,98.3,27.3,DEN,3.284,7.806999999999999,14.900000000000002,123.8,5.69,3.459,2.8489999999999998,104.3,151.8,14.2,10.9,2017.0
98,25.4,37,95.0,24.1,DET,2.869,7.7440000000000015,12.3,106.70000000000002,5.192000000000001,2.384,2.153,98.1,156.6,14.199999999999998,12.7,2017.0
99,28.2,67,99.8,22.8,GSW,3.285,7.83,14.3,117.09999999999998,5.855,3.0789999999999997,2.4639999999999995,96.2,179.29999999999995,19.2,19.7,2017.0
100,27.4,55,100.0,24.6,HOU,2.8790000000000004,7.0870000000000015,14.800000000000002,121.59999999999998,5.817,3.917,2.7880000000000003,104.9,136.89999999999998,15.900000000000002,16.7,2017.0
101,27.0,42,95.9,21.2,IND,2.978,7.7,12.9,105.8,5.496,2.628,2.3160000000000003,99.3,134.3,16.200000000000006,17.4,2017.0
102,30.0,51,96.1,21.5,LAC,3.235,7.555,13.300000000000002,115.9,5.634,3.475,2.9130000000000003,99.8,146.3,16.200000000000006,15.2,2017.0
103,25.1,26,98.5,25.0,LAL,3.1210000000000004,7.6919999999999975,15.2,112.5,5.4079999999999995,2.7260000000000004,2.642,101.2,127.0,16.2,13.900000000000002,2017.0
104,29.5,43,92.3,24.8,MEM,3.3600000000000003,7.764000000000001,12.699999999999998,107.1,5.308999999999998,3.725,2.823,96.5,144.9,16.5,13.4,2017.0
105,26.5,41,95.2,24.2,MIA,3.2160000000000006,7.087999999999999,13.8,116.8,5.465,3.607999999999999,2.226,96.8,131.39999999999998,14.2,18.5,2017.0
106,25.6,42,94.5,21.5,MIL,3.0010000000000003,7.824000000000002,13.5,107.7,5.642,3.274,2.4,98.8,148.0,16.200000000000006,19.5,2017.0
107,24.0,31,94.6,27.2,MIN,3.4720000000000004,7.7440000000000015,14.5,116.3,5.3740000000000006,3.159,2.533,90.8,150.39999999999995,17.4,14.1,2017.0
108,25.7,34,98.0,18.5,NOP,3.077,7.417000000000002,12.1,107.69999999999996,5.324,3.42,2.155,91.5,133.2,15.4,18.3,2017.0
109,27.3,31,96.0,26.6,NYK,2.735,7.685,14.2,111.4,5.366999999999999,2.571,2.4210000000000003,114.0,143.7,14.8,22.2,2017.0
110,24.7,47,97.8,27.9,OKC,2.696,6.778,14.8,105.60000000000002,5.299,3.154,2.7239999999999998,105.6,133.10000000000002,15.3,16.4,2017.0
111,25.3,29,96.8,21.6,ORL,2.839,7.606,13.4,104.90000000000002,5.204,2.968,2.7840000000000003,97.2,144.0,13.9,16.299999999999994,2017.0
112,24.6,28,98.5,22.4,PHI,2.951,7.693,16.1,101.9,5.345,3.4799999999999995,2.381,93.6,156.5,16.099999999999998,14.8,2017.0
113,25.0,24,100.3,26.0,PHO,2.841,7.617000000000001,16.3,115.3,5.49,2.5,3.08,103.79999999999998,132.8,16.4,15.500000000000002,2017.0
114,24.8,41,96.7,23.0,POR,2.8760000000000003,7.502999999999999,13.500000000000002,113.6,5.486999999999999,2.7889999999999997,2.971,110.5,122.8,13.2,17.2,2017.0
115,27.9,32,94.9,21.0,SAC,2.9450000000000003,7.64,14.5,104.59999999999997,5.5390000000000015,3.1980000000000004,2.638,97.1,149.20000000000005,15.9,14.8,2017.0
116,29.6,61,94.2,24.0,SAS,3.141,7.755000000000001,12.8,108.2,5.642999999999999,2.665,2.5610000000000004,106.9,157.00000000000003,16.9,19.5,2017.0
117,26.1,51,94.7,25.0,TOR,3.3389999999999995,7.6770000000000005,12.3,114.10000000000002,5.681,3.0250000000000004,2.6830000000000003,100.0,110.70000000000002,17.6,20.6,2017.0
118,26.8,51,91.6,23.2,UTA,3.1739999999999995,7.475,13.899999999999995,109.9,5.587999999999999,3.1990000000000003,2.6740000000000004,93.7,149.29999999999995,14.4,13.599999999999998,2017.0
119,26.0,49,97.4,24.1,WAS,3.365,7.777000000000001,14.3,116.8,5.646000000000001,2.9360000000000004,2.2940000000000005,93.6,135.99999999999997,15.100000000000005,13.9,2017.0
