,3P%,FT%,TRB,AST,STL,BLK,PF,PTS,TEAM,AGE,W,SOS,PACE,3PAr,TS%,TOV%,ORB%,FT/FGA,D_eFG%,D_TOV%,DRB%,D_FT/FGA,SEASON
191,0.377,0.828,43.6,21.4,8.3,7.6,20.2,105.7,OKC,26.0,60.0,-0.06,93.3,0.244,0.58,14.4,26.7,0.28,0.469,13.5,73.4,0.197,2012-13
192,0.358,0.8059999999999999,43.7,18.5,7.5,8.2,20.5,103.1,OKC,25.1,47.0,0.32,93.0,0.252,0.5670000000000001,15.3,27.8,0.269,0.465,13.0,72.1,0.207,2011-12
193,0.34700000000000003,0.823,42.8,20.4,8.0,5.9,22.4,104.8,OKC,23.7,55.0,0.02,92.7,0.212,0.561,13.1,27.4,0.299,0.493,12.9,73.6,0.228,2010-11
194,0.341,0.77,44.5,24.0,8.4,5.7,17.6,106.4,ORL,26.0,30.0,0.12,98.3,0.36,0.54,11.4,22.4,0.191,0.535,13.5,79.0,0.17,2019-20
195,0.35600000000000004,0.782,45.4,25.5,6.6,5.4,18.6,107.3,ORL,25.7,42.0,-0.43,98.1,0.36,0.55,11.9,22.0,0.168,0.515,11.8,79.7,0.18600000000000005,2018-19
196,0.35100000000000003,0.757,41.6,23.4,7.6,4.9,19.3,103.4,ORL,25.6,25.0,-0.1,98.1,0.342,0.545,13.3,20.0,0.18,0.525,12.8,75.6,0.187,2017-18
197,0.328,0.747,43.2,22.2,7.1,4.8,19.3,101.1,ORL,25.3,29.0,-0.04,96.8,0.3,0.524,12.1,21.6,0.184,0.523,11.9,77.4,0.201,2016-17
198,0.35,0.757,43.3,23.6,8.2,5.1,20.7,102.1,ORL,23.9,35.0,-0.06,96.0,0.255,0.5329999999999999,12.8,23.1,0.175,0.513,13.8,76.5,0.215,2015-16
199,0.34700000000000003,0.7290000000000001,41.8,20.6,7.9,3.8,20.9,95.7,ORL,24.3,25.0,-0.15,93.8,0.235,0.524,14.0,23.1,0.168,0.514,13.6,76.0,0.21,2014-15
200,0.353,0.763,42.0,21.0,7.7,4.3,20.5,96.5,ORL,24.6,23.0,-0.44,93.6,0.235,0.525,13.9,22.4,0.193,0.504,13.0,75.5,0.211,2013-14
201,0.329,0.755,42.7,22.8,6.4,4.4,19.4,94.1,ORL,24.6,20.0,-0.14,92.2,0.223,0.514,13.7,25.4,0.149,0.508,11.8,74.6,0.195,2012-13
