,Age,W,TOV%,ORB%,Dfg%,DRB%,Tm,3P%,2P,FT%,DRB,PTS,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,year
123,24.4,27,12.6,20.6,0.542,80.6,CHI,3.0810000000000004,29.100000000000005,7.5,35.4,101.9,5.309,3.024,2.3150000000000004,101.1,149.0,14.8,13.8,2018.0
124,26.6,36,11.4,22.2,0.532,80.7,CHO,3.017,28.4,7.799000000000001,33.2,108.6,5.391,3.374,2.9360000000000004,91.0,144.10000000000005,14.6,14.8,2018.0
125,30.6,50,12.6,20.1,0.54,77.3,CLE,3.394,26.9,7.5219999999999985,34.90000000000001,107.4,5.8610000000000015,4.058,2.6210000000000004,101.4,138.49999999999997,13.9,11.9,2018.0
126,27.7,24,11.6,18.0,0.532,78.9,DAL,3.198,26.899999999999995,7.692,32.099999999999994,106.5,5.649000000000001,3.6460000000000004,2.5200000000000005,98.0,159.20000000000005,14.7,19.0,2018.0
127,25.1,46,13.4,25.7,0.539,77.5,DEN,3.29,33.0,7.455999999999999,37.50000000000001,122.7,5.645,3.322,2.74,107.6,154.8,15.1,18.8,2018.0
128,25.9,39,12.3,22.7,0.524,78.5,DET,3.3710000000000004,30.7,7.773,32.7,116.3,5.4780000000000015,3.9260000000000006,2.072,83.0,143.1,16.1,10.7,2018.0
129,28.8,58,14.1,21.0,0.504,76.3,GSW,2.855,30.1,8.066,33.6,118.8,5.789,3.2039999999999997,2.338,96.1,178.79999999999995,17.3,20.5,2018.0
130,29.8,65,12.7,21.3,0.521,79.9,HOU,2.9639999999999995,27.2,7.6610000000000005,39.1,134.10000000000002,5.902,4.9510000000000005,2.742,102.0,138.70000000000002,17.3,16.0,2018.0
131,26.2,48,12.3,22.7,0.527,76.2,IND,3.29,34.7,7.6720000000000015,35.30000000000001,113.9,5.5360000000000005,2.6189999999999998,2.172,104.2,137.5,17.6,17.4,2018.0
132,27.0,42,13.2,23.5,0.52,76.1,LAC,2.898,34.300000000000004,7.233,37.49999999999999,125.6,5.642,3.12,2.9250000000000003,101.4,146.7,15.2,15.8,2018.0
133,23.7,35,13.8,23.6,0.514,77.7,LAL,3.167,34.4,6.845,39.50000000000001,119.6,5.508000000000001,3.165,2.6990000000000003,103.1,140.59999999999997,17.2,15.5,2018.0
134,26.0,22,14.0,22.4,0.529,76.5,MEM,3.0930000000000004,28.4,7.8610000000000015,33.7,103.0,5.464,3.0300000000000007,2.659,101.9,141.9,15.000000000000002,18.9,2018.0
135,26.5,44,13.3,21.5,0.507,79.0,MIA,3.88,32.300000000000004,7.593,39.0,118.4,5.5440000000000005,3.386,2.4640000000000004,108.0,148.8,15.4,19.3,2018.0
136,25.9,44,12.9,20.4,0.528,75.9,MIL,3.3269999999999995,34.9,7.887,33.7,118.2,5.575,3.515,2.29,94.1,131.3,18.6,19.8,2018.0
137,27.1,47,11.4,24.4,0.539,76.4,MIN,3.2869999999999995,35.8,8.033000000000001,34.0,119.5,5.565,2.677,2.637,97.29999999999998,133.10000000000002,17.3,13.9,2018.0
138,27.6,48,13.3,20.0,0.513,76.7,NOP,3.5410000000000004,37.0,7.369,43.8,133.0,5.609999999999999,4.065,1.883,95.7,160.9,15.499999999999998,16.7,2018.0
